,time,u0,u10000,u20000,u30000,u40000,u50000,u60000,u70000,u80000,u90000,u100000
29,2016-02-22 21:00:00,-1.50999999046,-1.50999999046,-1.50999999046,-1.50999999046,-1.50999999046,-1.50999999046,-1.50999999046,-1.50999999046,-1.50999999046,-1.50999999046,-1.50999999046
30,2016-02-23 00:00:00,2.72000002861,2.72000002861,2.72000002861,2.72000002861,2.72000002861,2.72000002861,2.72000002861,2.72000002861,2.72000002861,2.72000002861,2.72000002861
31,2016-02-23 03:00:00,-0.219999998808,-0.219999998808,-0.219999998808,-0.219999998808,-0.219999998808,-0.219999998808,-0.219999998808,-0.219999998808,-0.219999998808,-0.219999998808,-0.219999998808
32,2016-02-23 06:00:00,-2.67000007629,-2.67000007629,-2.67000007629,-2.67000007629,-2.67000007629,-2.67000007629,-2.67000007629,-2.67000007629,-2.67000007629,-2.67000007629,-2.67000007629
33,2016-02-23 09:00:00,-0.769999980927,-0.769999980927,-0.769999980927,-0.769999980927,-0.769999980927,-0.769999980927,-0.769999980927,-0.769999980927,-0.769999980927,-0.769999980927,-0.769999980927
34,2016-02-23 12:00:00,0.330000013113,0.330000013113,0.330000013113,0.330000013113,0.330000013113,0.330000013113,0.330000013113,0.330000013113,0.330000013113,0.330000013113,0.330000013113
35,2016-02-23 15:00:00,0.109999999404,0.109999999404,0.109999999404,0.109999999404,0.109999999404,0.109999999404,0.109999999404,0.109999999404,0.109999999404,0.109999999404,0.109999999404
36,2016-02-23 18:00:00,2.01999998093,2.01999998093,2.01999998093,2.01999998093,2.01999998093,2.01999998093,2.01999998093,2.01999998093,2.01999998093,2.01999998093,2.01999998093
37,2016-02-23 21:00:00,1.00999999046,1.00999999046,1.00999999046,1.00999999046,1.00999999046,1.00999999046,1.00999999046,1.00999999046,1.00999999046,1.00999999046,1.00999999046
38,2016-02-24 00:00:00,-2.08999991417,-2.08999991417,-2.08999991417,-2.08999991417,-2.08999991417,-2.08999991417,-2.08999991417,-2.08999991417,-2.08999991417,-2.08999991417,-2.08999991417
39,2016-02-24 03:00:00,-2.1099998951,-2.1099998951,-2.1099998951,-2.1099998951,-2.1099998951,-2.1099998951,-2.1099998951,-2.1099998951,-2.1099998951,-2.1099998951,-2.1099998951
